solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVAd;100;Linha;0.00-0.05 m;1;0.84;0.93;0.28;93.0998;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_1
LVAd;100;Linha;0.00-0.05 m;2;0.95;1.01;0.31;95.9414;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_2
LVAd;100;Linha;0.00-0.05 m;3;0.95;1;0.31;99.7796;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_3
LVAd;100;Linha;0.10-0.15 m;1;0.86;0.95;0.29;71.9218;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_1
LVAd;100;Linha;0.10-0.15 m;2;1.02;1.16;0.34;117.2613;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_2
LVAd;100;Linha;0.10-0.15 m;3;0.92;1.03;0.32;128.7087;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_3
LVAd;100;Linha;0.20-0.25 m;1;0.98;1.14;0.35;133.5242;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_1
LVAd;100;Linha;0.20-0.25 m;2;0.95;1.13;0.33;140.0386;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_2
LVAd;100;Linha;0.20-0.25 m;3;0.95;1.06;0.32;132.4242;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_3
LVAd;1500;Entrelinha;0.00-0.05 m;1;0.93;1.04;0.32;222.1007;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_1
LVAd;1500;Entrelinha;0.00-0.05 m;2;0.91;1.08;0.29;223.4126;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_2
LVAd;1500;Entrelinha;0.00-0.05 m;3;0.33;1.12;0.33;206.1673;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_3
LVAd;1500;Entrelinha;0.10-0.15 m;1;1.09;1.16;0.38;214.4795;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_1
LVAd;1500;Entrelinha;0.10-0.15 m;2;0.9;1.12;0.28;238.0487;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_2
LVAd;1500;Entrelinha;0.10-0.15 m;3;1;1.13;0.36;217.7099;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_3
LVAd;1500;Entrelinha;0.20-0.25 m;1;1.02;1.2;0.39;319.7952;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_1
LVAd;1500;Entrelinha;0.20-0.25 m;2;1.08;1.13;0.33;313.5358;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_2
LVAd;1500;Entrelinha;0.20-0.25 m;3;1.12;1.2;0.38;258.265;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_3
LVAd;1500;Linha;0.00-0.05 m;1;0.82;0.94;0.27;263.7654;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_1
LVAd;1500;Linha;0.00-0.05 m;2;0.97;1.04;0.27;312.4965;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_2
LVAd;1500;Linha;0.00-0.05 m;3;0.93;1.05;0.28;206.3252;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_3
LVAd;1500;Linha;0.10-0.15 m;1;0.96;1.24;0.33;228.649;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_1
LVAd;1500;Linha;0.10-0.15 m;2;0.96;1.15;0.3;239.993;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_2
